Number Of Lines Of Length 4 Gene;Number Of Lines Of Length 3 Gene;Number Of Lines Of Length 2 Gene;Number Of Blocked Lines Of Length 4 Gene;Number Of Blocked Lines Of Length 3 Gene;Number Of Blocked Lines Of Length 2 Gene;Number Of Free Lines Of Length 4 Gene;Number Of Free Lines Of Length 3 Gene;Number Of Free Lines Of Length 2 Gene;Suicide Move Gene 4;Suicide Move Gene 3;Suicide Move Gene 2;Anti Suicide Move Gene 4;Anti Suicide Move Gene 3;Anti Suicide Move Gene 2
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;2.06545;0.804727;0.508356;-3.65209;-0.548271;0.977877;0.138727;0.544828;1.13973
1.56724;0.936618;-0.0833504;5.30468;0.145194;-0.19466;2.55485;0.842111;0.395313;-2.67061;0.733096;0.199732;0.138727;0.750663;0.377879
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.232384;1.35191;0.472121;0.529453;-3.8692;-0.304086;0.240942;-0.127012;0.839058;0.170864
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.19466;1.57314;0.842111;0.529453;-4.16008;-0.304086;0.240942;-0.0714386;0.3334;0.336807
1.56724;2.35425;0.0111384;4.70201;0.145194;-0.510629;1.35318;0.804727;0.350869;-2.67061;-0.203034;0.199732;-0.151716;0.750663;1.38753
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.232384;1.57314;0.842111;0.511693;-3.8692;0.733096;0.116205;-0.151716;0.544828;0.641286
1.56724;1.48395;0.0111384;5.22195;0.145194;-0.232384;1.57314;0.842111;0.508356;-3.38832;-0.203034;0.240942;-0.418216;0.310503;0.377879
1.56724;0.936618;-0.130581;5.30468;0.145194;-0.232384;2.55485;0.842111;0.647757;-2.98338;-0.203034;0.199732;0.138727;0.839058;0.377879
1.56724;2.35425;0.0111384;4.31434;0.145194;-0.232384;2.55485;0.842111;0.529453;-3.8692;-0.548271;0.199732;0.138727;0.544828;0.369097
1.56724;1.9437;0.0111384;5.30468;0.145194;-0.232384;1.57314;0.842111;0.529453;-3.4681;-0.548271;0.199732;-0.752338;0.750663;0.749188
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.598376;-3.66126;-0.203034;0.199732;-0.151716;0.750663;0.377879
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.19466;1.35191;0.472121;0.529453;-4.16008;-0.304086;0.240942;0.138727;0.839058;0.369097
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;2.06545;0.842111;0.508356;-4.11179;-1.03451;0.240942;0.138727;0.839058;1.13973
1.56724;1.48395;0.0111384;4.92171;0.145194;-0.232384;2.06545;0.804727;0.508356;-2.49957;-0.103951;0.116205;-1.6281;0.839058;1.13973
1.56724;0.936618;0.0111384;5.30468;0.145194;-0.232384;1.57314;0.842111;0.721334;-3.59245;-0.203034;0.199732;-0.752338;0.3334;0.377879
1.56724;1.9437;0.0111384;4.70143;0.73519;-0.232384;1.85499;0.842111;1.12116;-4.46473;-0.203034;0.240942;-0.0473589;0.750663;0.641286
1.56724;1.48395;-0.130581;5.43029;0.145194;-0.232384;2.55485;0.842111;0.56154;-4.61961;-0.203034;0.199732;-0.418216;0.750663;0.377879
1.56724;1.48395;0.0111384;6.16036;0.145194;-0.232384;2.63743;0.842111;0.508356;-4.46473;-0.228501;0.199732;-0.16395;0.750663;1.38753
1.56724;1.48395;0.0111384;4.92171;0.145194;-0.19466;2.55485;0.472121;0.529453;-3.8692;-0.203034;0.199732;-0.127012;0.839058;0.641286
