Generation;Average Moves To Win;Average Moves To Lose
6;15;19
6;15;22
6;15;16
6;19;21
6;19;22
6;17;19
6;13;16
6;17;18
6;12;26
6;22;13
6;19;19
6;14;19
6;14;17
6;20;21
6;18;14
6;16;19
6;15;29
6;14;12
6;21;17
6;15;23
6;19;18
6;14;20
6;19;20
6;14;19
6;13;18
6;16;17
6;16;12
6;15;15
6;15;13
6;15;19
6;16;23
6;17;16
6;14;25
6;16;16
6;15;17
6;14;19
6;22;26
6;14;18
6;13;26
6;12;24
6;16;14
6;15;21
6;17;15
6;14;16
6;22;21
6;18;17
6;26;21
6;21;20
6;16;20
6;11;23
6;17;16
6;17;14
6;17;15
6;13;14
6;15;20
6;16;21
6;15;18
6;15;22
6;13;21
6;18;15
6;19;27
6;16;18
6;18;24
6;16;0
6;14;13
6;19;20
6;14;16
6;17;20
6;13;20
6;16;20
6;16;15
6;14;9
7;18;17
7;17;12
7;16;15
7;16;23
7;16;17
7;19;12
7;18;23
7;14;24
7;16;15
7;13;17
7;23;21
7;18;15
7;17;22
7;18;19
7;18;18
7;18;20
7;13;15
7;16;30
7;17;12
7;18;18
7;15;14
7;14;12
7;15;27
7;13;15
7;13;13
7;16;17
7;15;14
7;13;19
7;15;21
7;13;18
7;23;18
7;17;31
7;13;21
7;15;26
7;16;28
7;13;19
7;17;13
7;18;11
7;17;25
7;18;17
7;14;17
7;14;13
7;13;17
7;17;18
7;20;17
7;17;23
7;17;21
7;15;23
7;18;22
7;14;19
7;12;13
7;20;18
7;14;14
7;12;17
7;16;20
7;11;12
7;18;17
7;18;13
7;17;28
7;15;30
7;11;14
7;16;20
7;16;21
7;16;17
7;16;18
7;15;16
7;16;28
7;16;15
7;19;22
7;15;16
7;17;16
7;16;12
7;17;17
7;15;20
7;13;21
7;14;19
7;13;21
7;16;21
7;19;15
7;12;15
7;16;11
7;14;15
7;15;11
7;18;13
7;15;18
7;16;16
7;26;27
7;18;29
7;12;15
7;14;17
7;16;23
7;18;27
7;14;12
7;16;16
7;20;27
7;15;11
7;17;16
7;19;24
7;18;23
7;21;20
8;18;13
8;16;15
8;15;14
8;16;16
8;17;17
8;18;20
8;17;13
8;14;13
8;18;25
8;12;14
8;18;24
8;14;16
8;18;27
8;21;19
8;16;20
8;17;21
8;12;18
8;12;12
8;17;19
8;14;19
8;14;23
8;20;17
8;18;14
8;21;19
8;15;18
8;16;17
8;19;17
8;18;22
8;14;17
8;15;16
8;17;16
8;12;14
8;16;16
8;13;22
8;11;20
8;14;18
8;18;19
8;14;22
8;16;14
8;10;17
8;17;12
8;16;18
8;17;17
8;16;15
8;14;20
8;17;18
8;17;21
8;16;16
8;15;17
8;16;15
8;11;22
8;16;26
8;17;15
8;19;18
8;17;25
8;14;15
8;17;15
8;16;13
8;12;17
8;16;16
8;11;18
8;16;19
8;15;14
8;7;13
8;16;13
8;15;23
8;15;13
8;11;20
8;15;18
8;15;17
8;17;14
8;18;16
8;15;19
8;15;10
8;15;15
8;17;20
8;13;22
8;15;14
8;13;15
8;14;17
8;14;17
8;18;20
8;14;19
8;16;17
8;16;15
8;18;18
8;14;26
8;13;19
8;15;15
8;17;22
8;16;19
8;15;22
8;14;20
8;14;25
8;20;15
8;14;13
8;19;20
8;16;22
8;15;14
8;16;15
9;14;11
9;13;20
9;15;26
9;16;23
9;15;20
9;16;20
9;16;19
9;17;20
9;16;15
9;13;18
9;12;19
9;17;14
9;17;9
9;13;16
9;16;15
9;17;21
9;10;22
9;15;13
9;14;20
9;13;13
9;16;15
9;12;18
9;16;16
9;14;19
9;19;20
9;10;28
9;16;17
9;15;14
9;16;18
9;16;19
9;15;14
9;13;18
9;13;15
9;16;31
9;12;23
9;20;21
9;15;19
9;17;19
9;14;0
9;15;20
9;18;22
9;21;29
9;15;16
9;16;31
9;14;11
9;18;15
9;14;18
9;23;22
9;12;21
9;18;19
9;20;18
9;17;16
9;16;15
9;17;18
9;17;20
9;18;21
9;19;23
9;17;19
9;18;12
9;15;19
9;10;16
9;17;14
9;11;22
9;14;19
9;15;14
9;16;15
9;16;14
9;16;21
9;12;16
9;17;30
9;21;17
9;11;14
9;18;17
9;11;12
9;24;18
9;17;20
9;18;13
9;14;29
9;14;15
9;13;27
9;18;15
9;17;19
9;20;15
9;14;19
9;17;15
9;15;21
9;13;14
9;14;16
9;10;19
9;15;19
9;12;18
9;12;11
9;16;15
9;10;15
9;11;10
9;15;24
9;16;22
9;16;21
9;16;14
9;15;20
10;15;23
10;11;19
10;16;26
10;20;20
10;15;33
10;18;23
10;17;19
10;17;18
10;16;18
10;15;29
10;12;17
10;12;18
10;16;20
10;12;22
10;13;16
10;18;21
10;14;25
10;14;17
10;15;15
10;17;16
10;19;31
10;14;22
10;15;17
10;14;13
10;18;15
10;19;21
10;13;18
10;17;24
10;16;20
10;14;15
10;19;23
10;15;23
10;16;13
10;16;16
10;17;17
10;17;17
10;16;17
10;14;10
10;16;18
10;16;14
10;15;17
10;16;19
10;19;17
10;17;17
10;15;18
10;15;19
10;14;11
10;17;25
10;13;16
10;14;18
10;12;14
10;14;24
10;17;13
10;18;16
10;19;23
10;15;12
10;12;15
10;16;16
10;13;19
10;13;15
10;21;16
10;17;17
10;17;17
10;16;16
10;15;13
10;13;25
10;17;15
10;20;16
10;18;15
10;12;19
10;21;19
10;14;9
10;14;33
10;14;11
10;20;14
10;14;19
10;14;35
10;14;24
10;17;13
10;18;13
10;15;19
10;18;13
10;16;14
10;12;12
10;14;18
10;13;13
10;16;17
10;9;26
10;15;18
10;13;12
10;15;18
10;15;16
10;10;15
10;15;12
10;12;13
10;15;18
10;21;22
10;13;21
10;16;12
10;12;17
11;8;16
11;20;17
11;12;22
11;15;29
11;16;15
11;21;29
11;17;18
11;15;22
11;19;22
11;16;26
11;17;21
11;10;18
11;17;16
11;17;20
11;17;23
11;20;25
11;16;17
11;19;19
11;12;16
11;16;13
11;17;23
11;16;20
11;18;16
11;17;22
11;13;15
11;15;19
11;15;17
11;11;24
11;15;13
11;21;19
11;15;13
11;18;20
11;18;20
11;13;18
11;13;16
11;16;23
11;15;15
11;14;17
11;14;17
11;13;12
11;15;22
11;16;18
11;11;14
11;19;19
11;16;20
11;14;13
11;15;15
11;15;18
11;18;20
11;14;23
11;15;12
11;17;19
11;18;19
11;13;16
11;24;16
11;18;17
11;12;14
11;13;19
11;18;17
11;17;21
11;20;18
11;15;16
11;15;19
11;12;36
11;17;24
11;18;18
11;13;17
11;12;15
11;14;18
11;13;15
11;12;22
11;13;20
11;21;17
11;13;14
11;17;22
11;17;20
11;16;19
11;17;25
11;16;18
11;23;17
11;20;30
11;21;18
11;16;15
11;13;20
11;17;22
11;16;22
11;15;23
11;18;19
11;11;18
11;15;26
11;12;16
11;13;14
11;15;21
11;16;24
11;19;13
11;19;18
11;15;20
11;17;34
11;18;15
11;9;16
12;16;16
12;16;12
12;13;18
12;22;0
12;15;13
12;16;20
12;16;22
12;14;18
12;11;24
12;15;16
12;14;14
12;19;19
12;9;14
12;19;21
12;13;20
12;18;27
12;11;18
12;16;18
12;15;16
12;15;14
12;10;17
12;16;25
12;13;15
12;16;12
12;17;39
12;24;21
12;15;15
12;14;20
12;16;25
12;11;17
12;19;19
12;10;17
12;17;28
12;14;23
12;15;14
12;16;18
12;15;29
12;16;23
12;18;21
12;18;14
12;20;15
12;15;37
12;10;17
12;15;28
12;19;19
12;10;17
12;16;18
12;19;16
12;19;15
12;18;33
12;16;25
12;15;22
12;14;18
12;17;22
12;22;22
12;16;13
12;15;29
12;17;14
12;19;18
12;18;25
12;11;14
12;15;29
12;20;23
12;18;19
12;12;19
12;18;22
12;19;13
12;13;20
12;11;16
12;10;16
12;11;24
12;11;17
12;16;26
12;19;17
12;18;15
12;15;27
12;18;28
12;14;15
12;10;15
12;18;15
12;11;16
12;16;12
12;15;14
12;14;19
12;12;20
12;13;21
12;13;19
12;13;14
12;19;22
12;15;14
12;16;25
12;18;13
12;12;17
12;12;10
12;15;21
12;14;14
12;14;14
12;18;30
12;15;22
12;15;23
13;15;21
13;17;15
13;17;22
13;12;24
13;16;25
13;17;24
13;13;10
13;16;25
13;17;19
13;14;12
13;18;21
13;14;25
13;14;30
13;21;15
13;14;27
13;19;23
13;16;21
13;19;30
13;17;14
13;22;18
13;15;17
13;15;36
13;18;24
13;13;11
13;19;20
13;17;20
13;15;19
13;10;18
13;10;17
13;15;24
13;14;15
13;19;13
13;17;16
13;16;17
13;14;15
13;15;15
13;16;15
13;12;23
13;10;31
13;21;20
13;19;25
13;15;30
13;19;20
13;11;19
13;12;18
13;14;13
13;15;24
13;17;17
13;21;23
13;14;42
13;16;15
13;26;19
13;17;10
13;15;14
13;18;14
13;17;19
13;17;18
13;10;22
13;14;19
13;15;17
13;16;20
13;16;27
13;12;8
13;15;18
13;17;24
13;17;19
13;19;31
13;17;20
13;19;18
13;14;15
13;15;20
13;10;17
13;18;12
13;14;27
13;13;0
13;17;20
13;18;16
13;14;20
13;16;19
13;14;15
13;15;14
13;11;21
13;22;22
13;11;8
13;21;17
13;10;16
13;15;20
13;16;35
13;14;19
13;15;15
13;14;27
13;15;19
13;14;21
13;18;28
13;13;25
13;14;23
13;18;13
13;16;23
13;17;23
13;14;17
14;13;23
14;12;0
14;19;0
14;16;19
14;19;16
14;14;16
14;15;16
14;15;18
14;11;19
14;21;16
14;17;16
14;17;17
14;13;19
14;15;24
14;15;24
14;14;28
14;14;17
14;15;21
14;19;18
14;18;21
14;18;24
14;18;20
14;17;0
14;19;30
14;21;25
14;12;22
14;16;17
14;16;14
14;12;16
14;18;21
14;14;18
14;18;19
14;19;24
14;16;19
14;15;18
14;19;0
14;15;24
14;20;17
14;14;16
14;23;27
14;13;28
14;17;18
14;18;21
14;14;15
14;18;20
14;18;42
14;19;11
14;15;20
14;13;16
14;17;27
14;13;20
14;19;27
14;10;30
14;15;24
14;17;20
14;19;18
14;12;17
14;14;21
14;16;11
14;22;16
14;14;24
14;17;18
14;19;23
14;16;0
14;13;24
14;14;12
14;18;20
14;17;13
14;14;13
14;19;26
14;18;0
14;12;0
14;13;22
14;18;20
14;15;0
14;15;22
14;15;16
14;14;14
14;23;0
14;13;17
14;14;8
14;19;18
14;16;17
14;13;19
14;14;21
14;16;22
14;15;24
14;15;24
14;13;22
14;13;15
14;10;16
14;15;21
14;13;23
14;19;21
14;12;14
14;18;18
14;13;15
14;11;16
14;21;18
14;12;19
15;15;0
15;12;20
15;11;17
15;15;11
15;16;22
15;22;23
15;17;25
15;10;19
15;16;29
15;11;24
15;16;23
15;13;13
15;21;13
15;18;19
15;13;14
15;14;18
15;18;27
15;18;17
15;15;27
15;9;16
15;14;17
15;15;15
15;15;26
15;21;13
15;15;14
15;18;30
15;17;22
15;17;14
15;21;24
15;14;17
15;16;26
15;11;23
15;14;19
15;17;21
15;16;17
15;14;18
15;15;21
15;18;19
15;17;20
15;14;30
15;16;33
15;14;28
15;15;25
15;12;11
15;16;20
15;17;7
15;15;18
15;13;18
15;14;13
15;14;18
15;19;23
15;16;22
15;17;9
15;18;16
15;13;24
15;15;24
15;17;19
15;19;17
15;16;25
15;13;9
15;13;24
15;16;17
15;17;19
15;14;7
15;21;20
15;15;19
15;15;18
15;13;13
15;17;17
15;19;13
15;13;20
15;14;21
15;12;16
15;18;12
15;12;16
15;14;27
15;12;22
15;17;31
15;15;20
15;15;22
15;11;16
15;12;14
15;18;21
15;25;18
15;14;14
15;16;26
15;16;17
15;16;27
15;13;17
15;20;13
15;16;15
15;16;28
15;18;29
15;14;14
15;15;18
15;18;10
15;14;0
15;15;27
15;17;24
15;11;19
16;12;21
16;22;21
16;14;13
16;15;36
16;16;33
16;13;26
16;16;12
16;17;19
16;13;20
16;15;23
16;8;17
16;13;24
16;11;22
16;14;23
16;14;20
16;13;17
16;23;26
16;17;14
16;15;27
16;12;22
16;16;21
16;13;27
16;16;42
16;16;25
16;21;19
16;16;41
16;19;34
16;15;24
16;19;30
16;11;19
16;15;25
16;16;0
16;17;16
16;17;14
16;14;25
16;18;25
16;17;20
16;21;21
16;13;18
16;20;20
16;17;19
16;13;23
16;13;17
16;17;19
16;11;20
16;17;17
16;16;35
16;12;33
16;16;26
16;15;11
16;14;21
16;15;15
16;13;31
16;20;42
16;16;33
16;15;26
16;14;31
16;18;7
16;17;20
16;16;11
16;15;22
16;13;26
16;17;9
16;15;15
16;13;19
16;14;19
16;16;31
16;16;23
16;17;24
16;12;25
16;16;21
16;13;24
16;22;0
16;16;20
16;18;25
16;18;30
16;14;19
16;15;20
16;16;18
16;16;20
16;14;20
16;18;38
16;15;30
16;14;11
16;15;13
16;16;28
16;20;23
16;13;24
16;17;19
16;20;15
16;16;19
16;15;26
16;18;18
16;13;19
16;20;35
16;17;16
16;18;12
16;10;19
16;12;16
16;13;26
17;19;37
17;23;28
17;15;23
17;13;17
17;16;33
17;18;25
17;15;28
17;13;20
17;18;24
17;18;15
17;10;17
17;18;24
17;14;28
17;12;21
17;15;0
17;16;0
17;15;15
17;14;19
17;20;42
17;17;22
17;14;30
17;16;16
17;10;14
17;14;36
17;15;19
17;15;15
17;19;28
17;22;21
17;9;20
17;9;17
17;17;31
17;17;28
17;15;12
17;14;23
17;18;29
17;14;15
17;17;14
17;11;16
17;14;17
17;15;22
17;13;25
17;17;25
17;16;24
17;16;17
17;20;19
17;20;42
17;19;13
17;17;21
17;9;23
17;20;29
17;16;28
17;19;26
17;18;27
17;21;21
17;18;33
17;16;29
17;19;18
17;22;18
17;18;24
17;19;14
17;20;31
17;16;11
17;13;16
17;17;19
17;17;16
17;16;38
17;18;18
17;16;20
17;22;15
17;17;29
17;18;21
17;13;22
17;18;25
17;15;21
17;18;13
17;17;31
17;13;15
17;11;25
17;16;25
17;13;17
17;19;17
17;18;18
17;12;25
17;18;28
17;14;28
17;17;37
17;18;28
17;15;24
17;20;20
17;18;30
17;11;0
17;14;0
17;19;28
17;15;21
17;16;19
17;15;17
17;12;16
17;19;15
17;17;19
17;20;24
18;14;27
18;13;20
18;19;19
18;19;0
18;12;37
18;19;28
18;14;19
18;18;22
18;17;25
18;14;19
18;14;20
18;15;31
18;16;30
18;16;30
18;18;24
18;21;25
18;16;0
18;21;15
18;19;30
18;17;31
18;12;14
18;14;20
18;15;22
18;12;12
18;20;26
18;21;18
18;21;22
18;25;20
18;15;21
18;14;19
18;21;15
18;17;26
18;18;22
18;16;24
18;9;16
18;16;14
18;15;21
18;12;20
18;13;22
18;15;0
18;18;37
18;14;24
18;13;17
18;15;32
18;12;23
18;18;21
18;16;16
18;19;23
18;20;23
18;17;18
18;16;27
18;13;16
18;22;27
18;13;18
18;13;21
18;15;19
18;15;27
18;16;25
18;17;11
18;11;31
18;16;21
18;12;18
18;22;17
18;13;20
18;18;25
18;13;18
18;18;13
18;12;26
18;21;26
18;11;18
18;16;25
18;16;24
18;10;18
18;16;16
18;15;29
18;11;18
18;15;17
18;17;26
18;17;0
18;19;35
18;12;16
18;14;25
18;13;34
18;17;19
18;14;20
18;18;0
18;13;23
18;16;27
18;16;23
18;13;31
18;17;18
18;14;27
18;17;42
18;14;30
18;14;20
18;15;17
18;14;21
18;19;20
18;15;18
18;17;24
19;19;32
19;14;27
19;17;27
19;12;15
19;18;21
19;15;26
19;14;22
19;18;0
19;12;22
19;15;15
19;19;16
19;17;12
19;20;0
19;19;19
19;18;17
19;16;35
19;14;27
19;12;15
19;17;21
19;15;25
19;14;26
19;15;31
19;15;36
19;17;42
19;18;14
19;21;38
19;18;27
19;22;13
19;15;18
19;15;16
19;19;24
19;13;15
19;15;25
19;14;22
19;15;30
19;16;19
19;17;14
19;17;25
19;13;22
19;18;23
19;13;23
19;16;27
19;16;17
19;19;13
19;19;16
19;14;21
19;15;25
19;17;21
19;16;23
19;14;34
19;17;30
19;18;10
19;15;24
19;15;25
19;19;18
19;14;19
19;15;15
19;19;31
19;16;17
19;15;12
19;11;35
19;15;14
19;11;17
19;18;32
19;16;26
19;19;8
19;17;18
19;16;35
19;18;25
19;11;18
19;13;12
19;12;21
19;20;14
19;19;21
19;13;21
19;16;16
19;16;42
19;18;26
19;13;20
19;21;34
19;20;19
19;18;40
19;13;13
19;14;25
19;20;0
19;15;25
19;14;22
19;16;19
19;18;20
19;16;15
19;17;16
19;14;15
19;14;18
19;16;31
19;15;18
19;16;42
19;13;20
19;11;21
19;19;25
19;17;23
20;18;14
20;19;23
20;14;32
20;12;23
20;13;23
20;13;33
20;19;21
20;14;19
20;15;12
20;13;18
20;17;35
20;19;29
20;22;11
20;18;30
20;16;25
20;18;21
20;16;18
20;20;17
20;15;27
20;16;19
20;14;15
20;15;33
20;18;25
20;12;23
20;17;17
20;11;21
20;20;17
20;19;26
20;15;17
20;14;18
20;17;22
20;21;28
20;13;24
20;17;25
20;11;20
20;18;19
20;18;20
20;18;31
20;16;19
20;20;25
20;15;23
20;24;22
20;18;26
20;14;17
20;9;27
20;15;18
20;12;32
20;14;24
20;20;19
20;18;14
20;19;17
20;9;18
20;14;21
20;23;0
20;17;9
20;18;18
20;15;18
20;19;30
20;16;22
20;15;42
20;15;23
20;16;15
20;17;32
20;13;25
20;15;34
20;17;7
20;15;27
20;19;29
20;21;29
20;14;17
20;19;28
20;16;18
20;16;23
20;14;22
20;22;13
20;15;22
20;14;32
20;17;9
20;20;21
20;17;18
20;13;42
20;13;15
20;16;39
20;16;25
20;17;23
20;17;20
20;16;20
20;19;23
20;14;16
20;15;19
20;12;16
20;16;26
20;17;23
20;16;11
20;15;42
20;12;31
20;18;32
20;18;13
20;21;11
20;12;28
21;14;20
21;14;24
21;12;16
21;13;15
21;13;25
21;11;18
21;22;0
21;12;25
21;19;27
21;11;16
21;16;20
21;16;0
21;15;16
21;18;29
21;15;27
21;21;20
21;18;13
21;18;27
21;19;25
21;16;17
21;17;0
21;12;24
21;18;0
21;19;16
21;22;27
21;17;18
21;15;24
21;16;31
21;14;26
21;10;20
21;20;29
21;12;25
21;14;20
21;17;24
21;17;42
21;18;15
21;18;25
21;14;41
21;18;21
21;18;19
21;11;22
21;15;25
21;15;41
21;14;22
21;14;19
21;17;34
21;16;27
21;13;11
21;13;19
21;16;17
21;22;31
21;19;27
21;15;19
21;20;31
21;17;25
21;17;20
21;13;15
21;14;24
21;11;26
21;11;13
21;19;15
21;18;23
21;17;17
21;13;15
21;13;14
21;15;34
21;12;12
21;17;11
21;18;22
21;17;16
21;11;27
21;16;16
21;17;24
21;18;22
21;19;29
21;19;33
21;15;23
21;13;13
21;19;21
21;16;25
21;20;32
21;14;27
21;13;14
21;11;16
21;20;29
21;19;0
21;13;22
21;11;23
21;17;13
21;17;19
21;20;0
21;14;26
21;17;23
21;15;18
21;16;16
21;18;42
21;16;20
21;14;42
21;16;24
21;19;42
22;20;17
22;15;12
22;21;26
22;15;15
22;20;0
22;23;19
22;14;31
22;12;28
22;19;18
22;15;30
22;11;26
22;16;32
22;19;41
22;14;21
22;13;17
22;14;18
22;14;20
22;19;26
22;22;29
22;15;24
22;20;17
22;10;23
22;16;19
22;11;14
22;16;13
22;14;19
22;12;25
22;16;0
22;19;24
22;14;16
22;16;17
22;16;16
22;21;25
22;19;15
22;19;29
22;19;22
22;15;22
22;12;23
22;21;29
22;15;19
22;13;33
22;14;27
22;13;17
22;14;20
22;11;21
22;15;34
22;18;14
22;22;20
22;16;23
22;16;18
22;15;13
22;12;18
22;17;17
22;20;31
22;13;16
22;14;19
22;16;23
22;15;21
22;17;14
22;20;17
22;15;15
22;19;36
22;17;20
22;16;27
22;15;21
22;22;21
22;18;15
22;16;26
22;19;28
22;16;22
22;17;29
22;16;17
22;15;0
22;17;25
22;18;17
22;17;17
22;22;21
22;16;29
22;13;21
22;18;14
22;21;17
22;15;19
22;18;18
22;21;14
22;11;15
22;13;32
22;16;21
22;16;12
22;22;19
22;16;24
22;15;23
22;18;25
22;13;21
22;17;16
22;15;30
22;17;22
22;17;28
22;16;39
22;14;19
22;18;10
23;19;15
23;12;26
23;16;29
23;15;9
23;14;22
23;17;17
23;19;21
23;18;29
23;15;31
23;21;30
23;18;30
23;18;18
23;14;19
23;16;25
23;18;22
23;11;24
23;18;18
23;13;26
23;18;15
23;17;30
23;12;23
23;13;23
23;17;21
23;17;23
23;17;18
